iter	Passed	Remaining
406	1019	1485
407	1020	1481
408	1022	1476
409	1023	1472
410	1025	1469
411	1026	1465
412	1027	1461
413	1029	1456
414	1030	1452
415	1031	1448
416	1032	1444
417	1034	1439
418	1035	1435
419	1036	1431
420	1037	1427
421	1039	1423
422	1040	1419
423	1042	1415
424	1043	1411
425	1044	1407
426	1045	1403
427	1047	1399
428	1048	1395
429	1049	1391
430	1050	1387
431	1051	1383
432	1053	1379
433	1054	1375
434	1055	1371
435	1057	1367
436	1058	1363
437	1059	1360
438	1061	1356
439	1062	1352
440	1063	1348
441	1064	1344
442	1066	1340
443	1067	1336
444	1068	1332
445	1070	1329
446	1071	1326
